lumens,part number,mcd,viewing angle
.17206,TLVG4200-ND,30,170
.17094,1497-1256-ND,1790,20
.17051,732-5018-ND,450,40
.17051,511-1211-ND,450,40
.16836,67-1499-ND,200,60
.16701,1830-1008-ND,780,30
.16701,1830-1000-ND,780,30
.16701,1516-1337-ND,780,30
.16521,754-1489-ND,2700,16
.16499,TLHE44R1S2-26-ND,196,60
.16479,516-HLMP-EG10-WZ000-ND,10750,8
.16471,TLHK42T1U2-ND,360,44
.16213,160-1663-ND,339,45
.15807,1497-1050-ND,59,110
.15807,1497-1038-ND,59,110
.15304,160-1944-ND,320,45
.15304,160-1662-ND,320,45
.15304,160-1659-ND,320,45
.15280,754-1919-ND,1600,20
.15280,754-1596-ND,1600,20
.15152,TLHK44R1S2-ND,180,60
.14988,160-1687-ND,700,30
.14988,160-1683-ND,700,30
.14988,160-1682-ND,700,30
.14897,516-1385-ND,1000,25
.14560,160-1947-ND,680,30
.14560,160-1685-ND,680,30
.14560,160-1602-ND,680,30
.14460,160-1698-ND,4200,12
.14412,TLHK42S1T2-ND,315,44
.14348,492-1322-ND,300,45
.14325,1080-1133-ND,1500,20
.13932,TLHE5100-ND,1800,18
.13853,1497-1354-ND,647,30
.13468,TLHF5400-ND,160,60
.13468,1516-1360-ND,160,60
.13468,1516-1346-ND,160,60
.13445,160-1670-ND,2500,15
.13445,160-1611-ND,2500,15
.13396,1080-EALP03RRAGA1-ND,50,110
.13396,1080-1468-ND,50,110
.13370,754-1279-ND,1400,20
.13262,511-1212-ND,350,40
.13262,511-1210-ND,350,40
.13239,160-1668-ND,180,56
.13128,1497-1051-ND,49,110
.13128,1497-1049-ND,49,110
.13017,350-3039-ND,58,100
.12847,67-1647-ND,600,30
.12504,SLI-343V8R3F-ND,330,40
.12504,SLI-343U8RC3F-ND,330,40
.12504,846-1136-ND,330,40
.12417,516-1378-ND,8100,8
.12415,67-1123-ND,1300,20
.12369,67-1604-ND,2300,15
.12355,754-1912-ND,450,34
.12050,1080-1137-ND,3500,12
.11965,511-1222-ND,5000,10
.11965,511-1221-ND,5000,10
.11965,511-1220-ND,5000,10
.11917,EALP05RDHYA0-ND,800,25
.11917,516-3975-ND,800,25
.11317,160-1677-ND,980,22
.11037,365-1184-ND,7200,8
.10982,754-1726-ND,400,34
.10836,751-1118-ND,1400,18
.10449,1497-1047-ND,39,110
.10427,516-1387-ND,700,25
.10277,VAOL-10GAT4-ND,480,30
.10162,160-1665-ND,880,22
.10101,1516-1361-ND,120,60
.10101,1516-1348-ND,120,60
.09849,1830-1010-ND,460,30
.09849,1830-1002-ND,460,30
.09849,1830-1001-ND,460,30
.09849,1516-QBL8AG30C-ND,460,30
.09849,1516-1340-ND,460,30
.09675,TLCPG5100-ND,1250,18
.09565,516-1892-ND,200,45
.09565,1080-1136-ND,200,45
.09473,732-11405-ND,250,40
.09259,732-5010-ND,110,60
.09238,160-1678-ND,800,22
.09198,516-1384-ND,6000,8
.09142,160-1669-ND,1700,15
.09142,1516-1356-ND,1700,15
.09090,754-1375-ND,80,70
.09088,516-HLMP-EG15-PS000-ND,1690,15
.09060,754-1595-ND,330,34
.08938,67-1137-ND,600,25
.08786,754-1911-ND,320,34
.08595,1125-1197-ND,900,20
.08431,751-1119-ND,5500,8
.08418,754-1476-ND,100,60
.08263,1080-1135-ND,2400,12
.08168,TLHE4600-ND,26,120
.08136,VAOL-5GDE4-ND,380,30
.08130,160-1034-ND,170,45
.07769,1497-1046-ND,29,110
.07769,1497-1037-ND,29,110
.07640,754-1918-ND,800,20
.07640,492-2484-ND,800,20
.07494,VAOL-10GDE4-ND,350,30
.07302,751-1097-ND,300,32
.07001,511-1195-ND,470,25
.06887,516-1324-ND,70,65
.06880,1080-EALP05RDGOA0-ND,8000,6
.06851,EALP05RDHRA2-ND,320,30
.06820,67-2315-ND,180,40
.06820,160-1684-ND,180,40
.06734,VAOL-5LCE2-ND,80,60
.06734,VAOL-5LAE2-ND,80,60
.06734,VAOL-3LDE2-ND,80,60
.06734,VAOL-3LAE2-ND,80,60
.06734,67-1748-ND,80,60
.06685,754-1738-ND,700,20
.06685,754-1262-ND,700,20
.06650,1497-1453-ND,79,60
.06637,516-HLMP-Y801-JPP00-ND,310,30
.06614,TLDR4400-ND,45,80
.06589,754-1598-ND,240,34
.06423,754-1277-ND,300,30
.06423,67-2240-ND,300,30
.06062,754-1725-ND,160,40
.06062,732-5005-ND,160,40
.06062,4304H6-ND,160,40
.05982,511-1370-ND,2500,10
.05892,TLDR5400-ND,70,60
.05892,754-1883-ND,70,60
.05892,1516-1363-ND,70,60
.05816,1125-1196-ND,200,35
.05816,1125-1181-ND,200,35
.05781,1830-1003-ND,270,30
.05781,1516-1341-ND,270,30
.05730,754-1737-ND,600,20
.05730,67-1120-ND,600,20
.05683,SLI-343M8C3F-ND,150,40
.05683,846-1135-ND,150,40
.05683,754-1599-ND,150,40
.05491,754-1913-ND,200,34
.05365,751-1096-ND,3500,8
.05358,754-1202-ND,20,110
.05353,754-1276-ND,250,30
.05305,754-1593-ND,140,40
.05305,732-5017-ND,140,40
.05252,754-1916-ND,550,20
.05138,516-3537-ND,240,30
.05050,350-2697-ND,60,60
.05050,160-1963-ND,60,60
.05050,160-1087-ND,60,60
.05050,160-1035-ND,60,60
.05004,516-3247-ND,85,50
.04868,751-1089-ND,200,32
.04806,L71539-ND,350,24
.04782,L14006-ND,100,45
.04775,754-1274-ND,500,20
.04712,TLHK4600-ND,15,120
.04599,516-1386-ND,3000,8
.04575,TLHK4200-ND,100,44
.04547,732-5007-ND,120,40
.04496,754-1275-ND,210,30
.04488,754-1717-ND,20,100
.04362,1080-1125-ND,150,35
.04302,67-1752-ND,800,15
.04297,754-1914-ND,450,20
.04282,VAOL-10GCE4-ND,200,30
.04239,1497-1356-ND,198,30
.04209,VAOL-5LDE2-ND,50,60
.04151,160-1964-ND,135,36
.04120,516-HLMP-3950-LM000-ND,300,24
.03934,TLHB4201-ND,86,44
.03832,751-1091-ND,2500,8
.03789,511-1193-ND,100,40
.03788,516-1313-ND,45,60
.03788,1516-1345-ND,45,60
.03788,1080-1065-ND,45,60
.03780,BL-BGE1V1-ND,130,35
.03674,754-1478-ND,25,80
.03666,1080-EALP05RDGYA1-ND,4263,6
.03640,VAOL-3GDE4-ND,170,30
.03639,516-HLMP-3950-K0002TR-ND,265,24
.03639,516-HLMP-3950-K0002DKR-ND,265,24
.03639,516-HLMP-3950-K0002CT-ND,265,24
.03591,350-3479-ND,16,100
.03589,511-1515-ND,1500,10
.03443,516-HLMP-WL02-ND,35,65
.03440,1080-EALP05RDGGA1-ND,4000,6
.03425,4305H7-ND,160,30
.03410,160-1701-ND,90,40
.03367,754-1870-ND,40,60
.03367,67-2241-ND,40,60
.03367,67-2239-ND,40,60
.03367,67-1498-ND,40,60
.03367,67-1110-ND,40,60
.03367,67-1105-ND,40,60
.03367,67-1090-ND,40,60
.03367,67-1060-ND,40,60
.03367,160-1089-ND,40,60
.03296,516-1344-ND,240,24
.03236,1080-1134-ND,940,12
.03226,516-1348-ND,600,15
.03211,VAOL-3HCE4-ND,150,30
.03211,VAOL-3GCE4-ND,150,30
.03211,VAOL-3GAE4-ND,150,30
.03141,1125-1417-ND,10,120
.03108,516-HLMP-K105-J0002TR-ND,65,45
.03108,516-HLMP-K105-J0002DKR-ND,65,45
.03108,516-HLMP-K105-J0002CT-ND,65,45
.03108,516-1314-ND,65,45
.03108,4318F1-ND,65,45
.02979,EALP05RDHGA1-ND,200,25
.02979,516-HLMP-C123-L0002TR-ND,200,25
.02979,516-HLMP-C123-L0002DKR-ND,200,25
.02979,516-HLMP-C123-L0002CT-ND,200,25
.02946,732-5006-ND,35,60
.02939,754-1479-ND,20,80
.02908,516-HLMP-Q102-ND,100,35
.02908,1080-1127-ND,100,35
.02893,1080-1124-ND,7,140
.02869,160-1971-ND,60,45
.02869,1080-1046-ND,60,45
.02869,1080-1044-ND,60,45
.02869,1080-1043-ND,60,45
.02840,67-1125-ND,25,70
.02839,516-3248-ND,40,55
.02715,1080-1068-ND,7,135
.02693,67-1083-ND,12,100
.02679,67-1050-ND,10,110
.02679,67-1047-ND,10,110
.02679,67-1046-ND,10,110
.02676,67-1065-ND,125,30
.02641,511-1240-ND,16,85
.02641,511-1239-ND,16,85
.02596,1080-1129-ND,20,75
.02596,1080-1128-ND,20,75
.02596,1080-1112-ND,20,75
.02532,516-HLMP-C523-J0002TR-ND,170,25
.02532,516-HLMP-C523-J0002DKR-ND,170,25
.02532,516-HLMP-C523-J0002CT-ND,170,25
.02532,516-HLMP-C423-ND,170,25
.02532,516-1353-ND,170,25
.02525,754-1872-ND,30,60
.02525,754-1869-ND,30,60
.02525,732-5016-ND,30,60
.02525,732-5009-ND,30,60
.02525,732-5008-ND,30,60
.02525,67-1402-ND,30,60
.02525,67-1116-ND,30,60
.02525,67-1112-ND,30,60
.02525,67-1111-ND,30,60
.02525,67-1108-ND,30,60
.02525,67-1098-ND,30,60
.02525,67-1097-ND,30,60
.02525,67-1086-ND,30,60
.02525,67-1072-ND,30,60
.02525,67-1071-ND,30,60
.02525,67-1070-ND,30,60
.02525,67-1066-ND,30,60
.02441,350-2675-ND,29,60
.02411,67-1052-ND,9,110
.02391,350-4076-ND,50,45
.02387,67-1119-ND,250,20
.02292,754-1273-ND,240,20
.02287,TLHB4200-ND,50,44
.02273,160-1702-ND,60,40
.02204,67-1397-ND,15,80
.02204,67-1396-ND,15,80
.02150,1080-EALP05RDGRA2-ND,2500,6
.02141,754-2156-ND,100,30
.02141,67-1059-ND,100,30
.02141,4305H5-ND,100,30
.02104,754-1715-ND,25,60
.02104,754-1210-ND,25,60
.02065,1080-1138-ND,600,12
.02060,1080-1096-ND,150,24
.02060,1080-1095-ND,150,24
.02060,1080-1094-ND,150,24
.02060,1080-1059-ND,150,24
.02060,1080-1058-ND,150,24
.02020,1497-1490-ND,24,60
.01935,TLHB5100-ND,250,18
.01927,67-1081-ND,90,30
.01927,67-1077-ND,90,30
.01927,1516-1338-ND,90,30
.01922,516-1346-ND,140,24
.01922,4308H7-ND,140,24
.01922,350-2693-ND,140,24
.01913,492-1320-ND,40,45
.01913,160-1942-ND,40,45
.01913,160-1709-ND,40,45
.01913,160-1147-ND,40,45
.01913,160-1144-ND,40,45
.01913,160-1143-ND,40,45
.01896,TLHB5102-ND,245,18
.01890,1080-1066-ND,65,35
.01884,TLHG4605-ND,6,120
.01884,751-1132-ND,6,120
.01882,1516-1353-ND,350,15
.01866,1080-1119-ND,100,28
.01840,516-3130-ND,10,90
.01840,516-1398-ND,10,90
.01840,1080-1479-ND,10,90
.01774,4303F5-ND,25,55
.01745,516-2788-2-ND,60,35
.01745,516-2788-1-ND,60,35
.01745,516-1335-ND,60,35
.01745,350-2677-ND,60,35
.01716,516-1345-ND,125,24
.01716,350-2691-ND,125,24
.01712,67-1109-ND,80,30
.01712,67-1107-ND,80,30
.01707,350-2678-ND,29,50
.01707,160-1949-ND,29,50
.01707,160-1703-ND,29,50
.01683,754-1884-ND,20,60
.01683,67-1496-ND,20,60
.01683,67-1495-ND,20,60
.01683,67-1106-ND,20,60
.01683,67-1100-ND,20,60
.01683,67-1099-ND,20,60
.01683,67-1094-ND,20,60
.01683,67-1073-ND,20,60
.01683,4301H5/5-ND,20,60
.01683,4301H1/1-ND,20,60
.01656,516-1402-ND,9,90
.01656,1080-1123-ND,9,90
.01656,1080-1115-ND,9,90
.01656,1080-1106-ND,9,90
.01650,511-1243-ND,10,85
.01650,511-1242-ND,10,85
.01650,511-1241-ND,10,85
.01650,511-1238-ND,10,85
.01648,350-2692-ND,120,24
.01647,754-1591-ND,60,34
.01613,516-HLMP-C515-L0002TR-ND,300,15
.01613,516-HLMP-C515-L0002DKR-ND,300,15
.01613,516-HLMP-C515-L0002CT-ND,300,15
.01613,516-1354-ND,300,15
.01607,67-1048-ND,6,110
.01599,350-2686-ND,19,60
.01570,751-1147-ND,5,120
.01533,516-1393-ND,1000,8
.01515,TLUR4401-ND,18,60
.01515,754-1723-ND,40,40
.01515,511-1261-ND,40,40
.01515,160-1952-ND,40,40
.01515,160-1950-ND,40,40
.01475,1080-1132-ND,15,65
.01475,1080-1120-ND,15,65
.01475,1080-1104-ND,15,65
.01471,754-1219-ND,25,50
.01471,67-1135-ND,25,50
.01469,67-2324-2-ND,10,80
.01469,67-2324-1-ND,10,80
.01464,TLHO42M1N2-ND,32,44
.01456,4305H1-ND,68,30
.01454,516-1336-ND,50,35
.01434,516-HLMP-1321-G0002TR-ND,30,45
.01434,516-HLMP-1321-G0002DKR-ND,30,45
.01434,516-HLMP-1321-G0002CT-ND,30,45
.01434,516-1294-ND,30,45
.01431,TLLK4401-ND,17,60
.01431,TLLE4401-ND,17,60
.01386,160-1941-ND,29,45
.01386,160-1140-ND,29,45
.01363,754-1373-ND,12,70
.01346,754-1900-ND,6,100
.01346,754-1474-ND,16,60
.01346,754-1304-ND,6,100
.01346,754-1211-ND,16,60
.01346,67-1084-ND,6,100
.01346,67-1082-ND,6,100
.01346,160-1965-ND,220,16
.01346,1125-1186-ND,16,60
.01346,1080-1118-ND,6,100
.01346,1080-1108-ND,6,100
.01346,1080-1103-ND,6,100
.01339,754-1200-ND,5,110
.01339,67-1045-ND,5,110
.01339,1497-1053-ND,5,110
.01322,67-1053-ND,9,80
.01306,751-1138-ND,70,28
.01306,751-1135-ND,70,28
.01288,516-1405-ND,7,90
.01284,754-1898-ND,60,30
.01284,754-1743-ND,60,30
.01284,754-1742-ND,60,30
.01262,TLUR6401-ND,15,60
.01262,TLUR6400-ND,15,60
.01262,TLUR5401-ND,15,60
.01262,TLUR5400-ND,15,60
.01262,TLUR4400-ND,15,60
.01262,TLHG5405-ND,15,60
.01262,TLHB5400-ND,15,60
.01262,TLHB44K2M1-ND,15,60
.01262,754-1874-ND,15,60
.01262,754-1873-ND,15,60
.01262,754-1212-ND,15,60
.01262,751-1129-ND,15,60
.01262,751-1116-ND,15,60
.01262,751-1101-ND,15,60
.01262,751-1092-ND,15,60
.01262,67-1058-ND,15,60
.01256,TLHG4600-ND,4,120
.01256,751-1146-ND,4,120
.01256,751-1130-ND,4,120
.01249,1497-1457-ND,11,70
.01249,1497-1455-ND,11,70
.01178,TLHY5405-ND,14,60
.01178,TLHR5405-ND,14,60
.01178,TLHR4401-AS12ZTB-ND,14,60
.01178,TLHR4401-AS12ZCT-ND,14,60
.01178,TLHG4401-ND,14,60
.01178,751-1155-ND,14,60
.01178,751-1141-ND,14,60
.01178,751-1128-ND,14,60
.01178,1497-1492-ND,14,60
.01178,1497-1491-ND,14,60
.01177,754-2196-ND,20,50
.01177,754-1710-ND,20,50
.01177,754-1217-ND,20,50
.01136,67-1127-ND,10,70
.01136,67-1126-ND,10,70
.01136,516-2592-ND,30,40
.01136,350-3405-ND,10,70
.01135,4303F1-ND,16,55
.01124,511-1197-ND,470,10
.01118,160-1706-ND,19,50
.01118,160-1705-ND,19,50
.01098,754-2197-ND,40,34
.01098,754-1720-ND,40,34
.01094,TLHY44K1L2-ND,13,60
.01094,TLHR4400-MS12ZTB-ND,13,60
.01094,TLHR4400-MS12ZCT-ND,13,60
.01094,TLHR4400-AS12ZTB-ND,13,60
.01094,TLHR4400-AS12ZCT-ND,13,60
.01094,TLHG4400-MS12TR-ND,13,60
.01094,TLHG4400-MS12CT-ND,13,60
.01094,TLHG4400-AS12ZTB-ND,13,60
.01094,TLHG4400-AS12ZCT-ND,13,60
.01094,TLHG4400-AS12TR-ND,13,60
.01094,TLHG4400-AS12CT-ND,13,60
.01094,751-1127-ND,13,60
.01094,751-1120-ND,13,60
.01094,751-1099-ND,13,60
.01071,754-1203-ND,4,110
.01071,754-1201-ND,4,110
.01071,516-1286-ND,4,110
.01071,1497-1056-ND,4,110
.01071,1497-1055-ND,4,110
.01070,67-1101-ND,50,30
.01070,160-1853-ND,50,30
.01070,160-1851-ND,50,30
.01052,516-1298-ND,22,45
.01022,1497-1360-ND,9,70
.01017,1125-1188-ND,35,35
.01010,TLHY5401-ND,12,60
.01010,TLHR5401-ND,12,60
.01010,TLHG5401-ND,12,60
.01010,754-1475-ND,12,60
.01010,751-1154-ND,12,60
.01010,751-1140-ND,12,60
.01010,751-1115-ND,12,60
.01010,67-2238-ND,12,60
.00961,516-3137-2-ND,70,24
.00961,516-3137-1-ND,70,24
.00961,516-1337-ND,70,24
.00961,350-2679-ND,70,24
.00955,754-1733-ND,100,20
.00947,754-1891-ND,25,40
.00947,754-1724-ND,25,40
.00947,754-1603-ND,25,40
.00947,511-1265-ND,25,40
.00947,511-1263-ND,25,40
.00947,511-1259-ND,25,40
.00947,511-1255-3-ND,25,40
.00947,511-1255-1-ND,25,40
.00947,511-1253-3-ND,25,40
.00947,511-1253-1-ND,25,40
.00941,511-1226-ND,16,50
.00933,TLHR5200-ND,50,28
.00933,TLHG5205-ND,50,28
.00933,751-1148-ND,50,28
.00925,TLHY4405-MS12TR-ND,11,60
.00925,TLHY4405-MS12CT-ND,11,60
.00925,751-1144-ND,11,60
.00920,1080-1113-ND,5,90
.00920,1080-1045-ND,5,90
.00915,TLHY4205-ND,20,44
.00915,TLHG4205-ND,20,44
.00909,754-1376-ND,8,70
.00909,754-1374-ND,8,70
.00909,1497-1022-ND,24,40
.00908,160-1704-ND,19,45
.00908,160-1146-ND,19,45
.00900,TLHG4900-ND,37,32
.00897,754-1901-ND,4,100
.00897,754-1308-ND,4,100
.00897,754-1305-ND,4,100
.00897,1080-1117-ND,4,100
.00897,1080-1107-ND,4,100
.00891,160-1969-ND,29,36
.00883,754-1220-ND,15,50
.00856,754-1735-ND,40,30
.00856,754-1264-ND,40,30
.00856,67-1117-ND,40,30
.00856,67-1092-ND,40,30
.00856,67-1063-ND,40,30
.00841,TLHY5400-ND,10,60
.00841,TLHY4400-ND,10,60
.00841,TLHY4400-AS12ZTB-ND,10,60
.00841,TLHY4400-AS12ZCT-ND,10,60
.00841,TLHR5400-ND,10,60
.00841,TLHR5400-AS12ZTB-ND,10,60
.00841,TLHR5400-AS12ZCT-ND,10,60
.00841,TLHG6400-CS12ZTB-ND,10,60
.00841,TLHG6400-CS12ZCT-ND,10,60
.00841,TLHG5400-ND,10,60
.00841,754-2199-ND,10,60
.00841,754-1868-ND,10,60
.00841,754-1477-ND,10,60
.00841,751-1153-ND,10,60
.00841,751-1139-ND,10,60
.00841,751-1114-ND,10,60
.00841,67-1056-ND,10,60
.00840,751-1109-ND,45,28
.00835,1497-1031-ND,39,30
.00833,SLI-343P8G3F-ND,22,40
.00833,SLI-343P8C3F-ND,22,40
.00823,TLHO4201-ND,18,44
.00823,754-2198-ND,30,34
.00823,754-1730-ND,30,34
.00823,754-1722-ND,30,34
.00813,160-1852-ND,38,30
.00803,754-1875-ND,3,110
.00764,754-1741-ND,80,20
.00764,754-1731-ND,80,20
.00757,754-2200-ND,9,60
.00757,754-1892-ND,20,40
.00757,754-1606-ND,20,40
.00755,516-HLMP-1340-J0002TR-ND,55,24
.00755,516-HLMP-1340-J0002DKR-ND,55,24
.00755,516-HLMP-1340-J0002CT-ND,55,24
.00755,516-1322-ND,55,24
.00755,516-1299-ND,55,24
.00746,TLHG5200-ND,40,28
.00746,751-1111-ND,40,28
.00746,516-1406-ND,40,28
.00746,516-1399-ND,40,28
.00744,67-1136-ND,50,25
.00736,1080-1042-ND,4,90
.00734,4307T1-ND,5,80
.00727,511-1225-ND,25,35
.00727,1080-1111-ND,25,35
.00719,1497-1030-ND,19,40
.00709,4303F7-ND,10,55
.00688,1080-1057-ND,7,65
.00686,TLHY4201-ND,15,44
.00686,TLHR4205-ND,15,44
.00686,TLHG4201-ND,15,44
.00682,TLUR2401-ND,18,40
.00673,754-1309-ND,3,100
.00673,754-1307-ND,3,100
.00673,754-1306-ND,3,100
.00673,4302H5-5V-ND,8,60
.00673,4302H5-12V-ND,8,60
.00673,4302H3-12V-ND,8,60
.00673,4302H1-5V-ND,8,60
.00673,4302H1-12V-ND,8,60
.00673,4302F5-5V-ND,8,60
.00673,4302F5-12V-ND,8,60
.00673,4302F3-12V-ND,8,60
.00673,4302F1-12V-ND,8,60
.00673,350-2672-ND,8,60
.00642,754-1896-ND,30,30
.00642,754-1263-ND,30,30
.00642,67-1069-ND,30,30
.00632,TLHY4900-ND,26,32
.00620,1497-1023-ND,29,30
.00618,516-HLMP-1540-H0002TR-ND,45,24
.00618,516-HLMP-1540-H0002DKR-ND,45,24
.00618,516-HLMP-1540-H0002CT-ND,45,24
.00618,516-HLMP-1440-H0002TR-ND,45,24
.00618,516-HLMP-1440-H0002DKR-ND,45,24
.00618,516-HLMP-1440-H0002CT-ND,45,24
.00618,516-1301-ND,45,24
.00618,516-1300-ND,45,24
.00608,TLHR4900-ND,25,32
.00606,L71533-ND,16,40
.00606,846-1190-ND,16,40
.00606,511-1266-ND,16,40
.00606,511-1262-ND,16,40
.00606,511-1257-3-ND,16,40
.00606,511-1257-1-ND,16,40
.00606,511-1256-3-ND,16,40
.00606,511-1256-1-ND,16,40
.00606,511-1254-3-ND,16,40
.00606,511-1254-1-ND,16,40
.00606,4304H7-ND,16,40
.00595,516-2803-ND,40,25
.00594,TLHP4201-ND,13,44
.00589,4304H3-ND,7,60
.00589,350-4078-ND,7,60
.00589,350-2406-ND,7,60
.00589,350-1556-ND,7,60
.00588,511-1230-ND,10,50
.00588,511-1228-ND,10,50
.00584,160-1966-ND,19,36
.00584,160-1133-ND,19,36
.00584,160-1130-ND,19,36
.00584,160-1127-ND,19,36
.00582,TLHB5800-ND,380,8
.00568,TLUR2400-ND,15,40
.00568,754-1729-ND,15,40
.00568,754-1602-ND,15,40
.00568,67-1078-ND,15,40
.00550,160-1134-ND,90,16
.00550,160-1132-ND,90,16
.00550,160-1128-ND,90,16
.00535,754-1736-ND,25,30
.00535,754-1732-ND,25,30
.00535,754-1284-ND,25,30
.00535,67-1104-ND,25,30
.00530,754-1721-ND,14,40
.00530,1497-1032-ND,14,40
.00513,1497-1033-ND,24,30
.00505,67-1080-ND,6,60
.00505,67-1079-ND,6,60
.00505,67-1068-ND,6,60
.00505,67-1067-ND,6,60
.00505,67-1064-ND,6,60
.00505,67-1062-ND,6,60
.00505,67-1061-ND,6,60
.00494,1125-1184-ND,17,35
.00471,754-1740-ND,22,30
.00465,511-1227-ND,16,35
.00465,511-1223-ND,16,35
.00457,TLHR4201-ND,10,44
.00457,TLHG4200-ND,10,44
.00454,TLUG2401-ND,12,40
.00446,67-1134-ND,30,25
.00429,67-1121-ND,45,20
.00420,754-2157-ND,5,60
.00420,67-1497-ND,5,60
.00420,350-2688-ND,5,60
.00383,TLHY5800-ND,250,8
.00378,L71532-ND,10,40
.00378,511-1260-ND,10,40
.00378,511-1258-3-ND,10,40
.00378,511-1258-1-ND,10,40
.00368,516-3942-ND,2,90
.00368,516-1408-ND,2,90
.00368,516-1401-ND,2,90
.00368,1080-1122-ND,2,90
.00367,160-1131-ND,60,16
.00366,TLHR4200-ND,8,44
.00343,1080-1121-ND,25,24
.00343,1080-1105-ND,25,24
.00320,TLHP4200TB-ND,7,44
.00320,TLHP4200CT-ND,7,44
.00303,TLUY2401-ND,8,40
.00303,754-1893-ND,8,40
.00295,516-1323-ND,3,65
.00295,1080-1064-ND,3,65
.00288,516-HLMP-K640-ND,21,24
.00252,67-2295-ND,3,60
.00252,67-1103-ND,3,60
.00227,754-1590-ND,6,40
.00189,TLUO2401-ND,5,40
.00189,TLUG2400-ND,5,40
.00184,516-1400-ND,1,90
.00183,TLHY4200TB-ND,4,44
.00183,TLHY4200CT-ND,4,44
.00178,67-1133-ND,12,25
.00171,754-1267-ND,8,30
.00168,516-HLMP-K150-C0002TR-ND,2,60
.00168,516-HLMP-K150-C0002DKR-ND,2,60
.00168,516-HLMP-K150-C0002CT-ND,2,60
.00168,516-1311-ND,2,60
.00168,1080-1067-ND,2,60
.00151,TLUY2400TB-ND,4,40
.00151,TLUY2400CT-ND,4,40
.00145,1125-1182-ND,5,35
.00143,516-1312-ND,3,45
.00137,516-1338-ND,10,24
.00128,754-1897-ND,6,30
.00128,67-1102-ND,6,30
.00117,TLLY5401-ND,2,50
.00117,TLLY4401-ND,2,50
.00117,TLLR5401-ND,2,50
.00117,TLLR4401-ND,2,50
.00117,TLLG5401-ND,2,50
.00117,TLLG4401-ND,2,50
.00117,TLLG4401-AS12TR-ND,2,50
.00117,TLLG4401-AS12CT-ND,2,50
.00117,350-2684-ND,2,50
.00117,1080-1049-ND,2,50
.00117,1080-1048-3-ND,2,50
.00117,1080-1048-1-ND,2,50
.00117,1080-1047-ND,2,50
.00084,516-HLMP-K600-ND,1,60
.00084,516-1293-ND,1,60
.00075,754-1609-ND,2,40
.00064,754-1268-ND,3,30
.00064,754-1265-ND,3,30
.00058,1080-1061-ND,2,35
.00058,1080-1050-ND,1,50
.00042,754-1266-ND,2,30
